entity	frequency
last month	121
just 45 years	4
four-year	4
the past 15 years	3
Two weeks ago	4
two weeks	12
the 30th	3
Today	109
1949	5
1942	9
1941	3
sentence-20648849	3
second-quarter	4
1930s	3
quarterly	6
every week	10
Now	4
Last June	3
July 2015	4
years ago	7
the summer	8
30 years	29
a day	19
1492	3
the 1950s	8
month	3
6846	3
three-day	3
the start of the month	3
the next 10 to 20 years	4
about holiday	3
Last October	5
the first day	4
the last week	4
the last six months	3
the months ahead	3
the coming decades	24
the turn of the century	3
17th-century	5
90s	4
a DECADE	4
This week	29
talking decades	3
four days	5
this week	196
last week	180
two years later	3
last weekend	6
This month	7
39	5
2045	18
2040	25
33	7
Tuesday	121
37	10
2048	6
2049	10
eight years	4
the weekend	13
Last year	143
NOW	3
the decade	3
February this year	3
Just last week	6
Ten years ago	6
these days	28
a few weeks	4
1900	3
the early 2030s	14
one-day	4
June	53
Last week	43
sunday	3
this century	24
year-long	5
today	459
the end of this year	5
October	55
that day	6
Wednesday	145
recent weeks	13
eight years ago	3
week-long	10
the last 20 years	3
21st-century	9
four-year-old	8
up to 30 days	4
the end of 2017	8
1990	5
1993	8
1995	7
1994	8
1997	33
1996	5
1999	5
1998	16
next month	12
November 2017	8
Tomorrow	11
November 2015	4
the next 20 to 30 years	4
A month	3
DAILY	3
as early as 2025	4
the week	13
April 2018	4
the 1980s and 1990s	3
April 2015	3
Christmas	48
the next 1,000 to 10,000 years	9
the next 10 years	10
150 years ago	9
just two years	3
winter	4
A day	4
June 2018	3
March 24, 2016	4
two months ago	5
the late 1980s	4
three years ago	6
June 2015	3
billions of years	6
five-year	12
under 13	3
the early 19th century	4
the next five years	29
four years	19
55s	5
180 years	3
the coming years	20
the 2020s	3
last April	13
May 9	4
Last month	72
February 20	4
74 last month	3
last September	5
six months	14
late last year	7
120 years	11
several days	3
late 2016	4
late 2017	6
every two years	3
late 2013	3
just days	12
next year's	10
years	173
Each week	3
25	7
March	68
last March	3
29	4
every month	9
several years	17
2019	57
2018	122
July last year	3
2015	145
2014	162
weeks	26
2016	301
2011	52
2010	61
2013	120
2012	82
May 2014	4
each day	20
May 2016	6
the last 12 months	4
May 2018	4
now	5
three-year-old	6
day	25
recent years	94
300 years	5
the past two years	7
the past couple of years	5
a few centuries	4
Next year	5
30 days	5
two-year-old	6
several months	5
the next four years	6
every day	54
the same day	9
year	32
30 years ago	4
the last few years	14
earlier this week	13
the next few decades	19
the coming months	20
October 2016	8
this summer	26
May last year	3
18-year-old	3
Earlier this month	27
the coming weeks	17
the last two years	10
five years ago	8
a year	33
This year	10
A few decades	6
the 1960s	13
a decade	18
September	42
19th-century	6
days	32
February 2018	5
the 1980s	28
this year	109
the years	27
Two years ago	10
the next few years	27
the end of the day	15
the 18th century	5
last summer	12
tomorrow	57
2050	50
2053	4
Monday	119
a month	21
the past three months	5
This Day'	4
four-day	5
the past five years	13
13	6
late August	6
18	5
last December	5
2024	13
2025	30
2026	4
2027	5
the next century	8
2021	19
2022	12
last week's	16
2029	14
a week	25
May 22	4
the year	21
three months	10
45 years	8
three-quarters	4
Just this month	4
Daleks	5
1968	5
the next 30 years	13
1965	7
1960	4
20 years	31
That same day	3
15 years	15
the late 1970s	4
the next 15 years	12
March 30	4
last fall	4
earlier this month	32
25 years	6
Earlier this week	19
the day	49
Saturday	33
the past three years	5
the past four years	4
the year 2045	3
six years	12
this fall	10
two years	33
the next 100 years	7
September 2016	4
2bn	3
10 years ago	5
the next five to ten years	5
each week	4
the next few weeks	4
the start of this year	4
six months ago	5
earlier this year	109
The day	5
the next two years	10
the past year	28
a few years ago	11
the 2030s	10
six-month	8
These days	17
hundreds of years	4
1960s	5
last year	320
a decade ago	6
one month	4
five days	7
Earlier this year	62
46-year-old	5
early next year	6
two weeks ago	5
last Thursday	3
recent months	25
2020	110
July	41
the past week	5
Last year's	4
a few weeks ago	5
same-day	5
the first quarter	7
last year's	23
two days	8
annual	95
Every day	6
the past decade	13
between 2017 and 2023	4
20 years ago	4
several weeks	4
Schmidhuber	17
that week	4
the end of last year	6
month-long	4
two-year	10
the past few years	13
monthly	32
Sept. 11	4
Every year	5
three years	20
decades-old	5
the next ten years	10
18 months	4
a quarter	4
the past 20 years	5
38	8
earlier in the year	9
100 years	8
250 years	4
2017	142
modern-day	6
the 1970s	14
next week	16
decades	125
A year later	4
Halloween	7
the coming year	5
many decades	10
the years ahead	5
the 1990s	16
Channel 4	4
later this year	13
August 15	4
a few years	25
the past two decades	4
a century ago	3
everyday	6
the 1930s	10
last Friday	5
last October	7
2035	9
2030	123
the past 25 years	5
Later this year	4
week	26
recent days	5
centuries	13
May 18	5
yesterday	83
within years	4
March 2018	7
1979	4
the end of the year	9
March 2016	7
1973	6
1971	6
each year	19
47	4
the late 1990s	6
1950	6
summer	13
one-year	4
May 2017	4
21st century	4
Sunday	59
weekly	31
the last five years	4
the next day	7
Friday	90
Robots	4
last July	4
the end of next year	5
the next decade	40
74 this month	4
Asimov	11
the year 2050	7
the last decade	11
every year	15
five to ten years	4
This Day	8
15-year-old	7
January 7	7
58	4
the early days	15
57	7
all day	4
50	4
annually	11
this month	46
an era	7
decades ago	3
next year	40
two years ago	21
Remembrance Day	4
the following two years	8
the 21st century	29
the 19th century	11
the year before	4
just a month	3
2070	7
the next 20 years	13
ten years	5
last November	5
Last May	4
early days	7
Daily	21
two months	7
1930	9
two decades	5
August	60
five years	24
the days	12
November 2018	4
April	88
December	64
months	44
coming years	7
a year earlier	3
the past few decades	4
a few months ago	4
four weeks	4
the next two decades	8
the first nine months	4
just weeks	10
a century	7
this day	6
multiple years	5
1984	12
1985	6
1982	4
1983	8
1980	4
the next 50 years	7
the next three years	7
one day	85
several decades	6
November	52
many years	35
January	62
Holocaust	5
May 2015	4
the coming decade	5
as few as five years	8
a couple of years	9
18 to 55	5
the next five to 10 years	5
the next 25 years	7
three days	7
later this month	9
this weekend	5
the end of this month	5
less than a decade	4
Thursday	152
One day	13
one year	6
This summer	7
48	7
49	7
May	80
50 years	24
44	4
Yesterday	13
40	6
the early 2000s	4
each month	6
2007	20
Just this week	4
February	63
the last year	8
AI	326
the months	7
a year ago	7
that year	4
weekend	4
10 years	18
May.	18
daily	94
2002	13
2003	6
2000	14
2001	31
2006	10
the 20th century	10
2004	21
2005	19
2008	36
2009	35
